,text
117,"#Canada joins in #global condemnation of #China's atrocities in #occupied #EastTurkestan.
Mass #sterilisation of #Uyghur #muslim women is #cultural& #ethnic #genocide.
Urges international community to unequivocally condemn #HumanRights
 abuses in #Xinjiang.
https://indiatoday.in/india/story/canada-joins-global-condemnation-of-china-s-atrocities-on-uyghurs-1734142-2020-10-22…"
118,"In his new album scheduled for November 6th, 
@Medinrecords
 will highlight the current situation of #Uyghurs in #China.

#UyghurGenocide #ConcentrationCamps #NeverAgain #EastTurkistan #Xinjiang #FreeOuighours #franceforuyghur"
119,This is important.  Democracies are speaking with one voice on #Uyghurs
120,"The #Canadian parliament’s Subcomm on Int’l Human Rights concluded that the persecution of #Uyghurs & others constitutes #genocide. The Chairs urge @UN to address the #Chinese govt’s atrocities & for @StateDept to issue an atrocity crimes determination. 
https://ourcommons.ca/DocumentViewer/en/43-2/SDIR/news-release/10903199…"
121,"Okay, but I'm not sure why this gets more column inches than his silence on #Uyghurs #UyghurGenocide, not to mention #Tibet or #HongKong #HongKongProtests and the appalling persecution of Christians in China. There's more to life than gender and sexuality."
122,"Q: Why are Jewish people speaking out for #Uyghurs rather than Muslims? 
Me: We don't have to be #Jewish, Uyghur, #Christian...to speak out in the face of genocide. All of us should condem #China. I'm grateful for the Jewish community for carrying out the promise of ""Never again."
123,"While 
@Pontifex
 is rightly criticised for his silence on #Uyghurs, #Tibet, #HongKong & persecution of Christians in China, as Vatican renews deal with the brutal, repressive, mendacious regime in Beijing, 
@JustinWelby
's silence shouldn't be excused either"
124,"2/ only because of #CCP #China's #genocide against the #Uyghurs.
@SpokespersonCHN
 
@zlj517
 
@ChinaEmbTurkey
 
@MFA_China
 
@AmbCuiTiankai
 
Being #Uyghurs are crime? 
This is totally unacceptable, racist #China and #CCP's members, we demand immediate release of all #Uyghurs."
125,"PLEASE HELP. The Uyghur Tribunal has been completely inundated with evidence of Chinese Communist Party atrocities + needs to raise money. 
 twitter.com/TribunalUyghur…"
126,"5/ #Uyghurs. Because china is currently doing very big and totally unacceptable crime against the #Uyghurs. Please take an action against the #Chinese regime as soon as possible, before it is too late. #Uyghurs are not the first and last victims of #CCP. #Uyghurs are +++"
127,"4/ reason for their parents and brothers detaining.
In 21st century millions of people are go abroad for travel, and millions of people going for abroad for study, is is very normal, but for #Uyghurs and for #China, it is the reason for #China to unlawful arresting +++5"
128,"It is not just an interview, it is heartbreaking process for #Uyghurs. Specifically for 
@Nursiman11
 and 
@NurKashgar
. Because two sisters were tried and keep trying their bests to save their family which is totally destroyed by #China. Two sisters are hope for their ++"
